busId,timestamp,latitude,longitude,speed,heading,eventType,deviation_meters,is_anomaly,anomaly_type
BUS-001,2025-11-10T07:00:00Z,28.535552,77.425967,34.3,90.0,location,8.8,0,normal
BUS-001,2025-11-10T07:01:00Z,28.536432,77.425949,34.3,91.5,location,6.4,0,normal
BUS-001,2025-11-10T07:02:00Z,28.537365,77.425904,41.6,93.0,location,11.4,0,normal
BUS-001,2025-11-10T07:03:00Z,28.538297,77.425837,36.1,94.5,location,2.6,0,normal
BUS-001,2025-11-10T07:04:00Z,28.539223,77.425824,40.4,96.0,location,7.0,0,normal
BUS-001,2025-11-10T07:05:00Z,28.540167,77.425748,43.6,97.5,location,7.9,0,normal
BUS-001,2025-11-10T07:06:00Z,28.540955,77.425613,32.0,99.0,location,6.8,0,normal
BUS-001,2025-11-10T07:07:00Z,28.54189,77.425433,38.3,100.5,location,9.6,0,normal
BUS-001,2025-11-10T07:08:00Z,28.542808,77.425243,31.2,102.0,location,6.9,0,normal
BUS-001,2025-11-10T07:09:00Z,28.543732,77.425061,36.2,103.5,location,9.7,0,normal
BUS-001,2025-11-10T07:10:00Z,28.544481,77.424774,33.8,105.0,location,6.2,0,normal
BUS-001,2025-11-10T07:11:00Z,28.545444,77.424522,35.6,106.5,location,7.5,0,normal
BUS-001,2025-11-10T07:12:00Z,28.546398,77.424313,35.4,108.0,location,10.7,0,normal
BUS-001,2025-11-10T07:13:00Z,28.547218,77.423923,32.3,109.5,location,8.2,0,normal
BUS-001,2025-11-10T07:14:00Z,28.548073,77.423695,34.2,111.0,location,6.8,0,normal
BUS-001,2025-11-10T07:15:00Z,28.548914,77.423334,41.1,112.5,location,8.3,0,normal
BUS-001,2025-11-10T07:16:00Z,28.549793,77.422979,32.6,114.1,location,5.0,0,normal
BUS-001,2025-11-10T07:17:00Z,28.550599,77.422484,22.2,115.6,location,13.8,0,normal
BUS-001,2025-11-10T07:18:00Z,28.55149,77.422235,40.2,117.1,location,10.4,0,normal
BUS-001,2025-11-10T07:19:00Z,28.552267,77.421749,34.6,118.6,location,9.0,0,normal
BUS-001,2025-11-10T07:20:00Z,28.553049,77.421286,31.9,120.1,location,9.7,0,normal
BUS-001,2025-11-10T07:21:00Z,28.55384,77.420778,40.5,121.6,location,13.2,0,normal
BUS-001,2025-11-10T07:22:00Z,28.554534,77.420357,40.7,123.1,location,10.5,0,normal
BUS-001,2025-11-10T07:23:00Z,28.555362,77.41979,32.6,124.6,location,11.1,0,normal
BUS-001,2025-11-10T07:24:00Z,28.556144,77.419319,26.8,126.1,location,0.2,0,normal
BUS-001,2025-11-10T07:25:00Z,28.556816,77.418822,23.4,127.6,location,12.5,0,normal
BUS-001,2025-11-10T07:26:00Z,28.557614,77.418217,46.5,129.1,location,5.2,0,normal
BUS-001,2025-11-10T07:27:00Z,28.558267,77.417545,36.8,130.6,location,4.3,0,normal
BUS-001,2025-11-10T07:28:00Z,28.558958,77.416884,41.1,132.1,location,11.5,0,normal
BUS-001,2025-11-10T07:29:00Z,28.559623,77.416367,37.9,133.6,location,7.6,0,normal
BUS-001,2025-11-10T07:30:00Z,28.560314,77.415716,36.1,135.1,location,3.5,0,normal
BUS-001,2025-11-10T07:31:00Z,28.560876,77.415062,40.0,136.6,location,6.7,0,normal
BUS-001,2025-11-10T07:32:00Z,28.561624,77.414356,42.2,138.1,location,9.3,0,normal
BUS-001,2025-11-10T07:33:00Z,28.562206,77.413756,36.8,139.6,location,8.4,0,normal
BUS-001,2025-11-10T07:34:00Z,28.562746,77.412958,37.8,141.1,location,10.6,0,normal
BUS-001,2025-11-10T07:35:00Z,28.563317,77.412216,42.0,142.6,location,0.5,0,normal
BUS-001,2025-11-10T07:36:00Z,28.563888,77.411547,34.2,144.1,location,5.6,0,normal
BUS-001,2025-11-10T07:37:00Z,28.564452,77.410671,40.6,145.6,location,5.4,0,normal
BUS-001,2025-11-10T07:38:00Z,28.564919,77.409953,43.1,147.1,location,6.4,0,normal
BUS-001,2025-11-10T07:39:00Z,28.565411,77.409207,45.6,148.6,location,4.6,0,normal
BUS-001,2025-11-10T07:40:00Z,28.56594,77.408404,40.0,150.1,location,8.3,0,normal
BUS-001,2025-11-10T07:41:00Z,28.566224,77.407658,45.2,151.6,location,0.8,0,normal
BUS-001,2025-11-10T07:42:00Z,28.566852,77.406883,31.4,153.1,location,15.0,0,normal
