studentId,subjectId,grade_level,attendance_rate_30d,attendance_rate_90d,homework_completion_rate,avg_score_current_term,avg_score_prev_term,score_trend,engagement_score,behavior_concerns_count,predictedScore,predictedGradeBand
STU-2026-0001,SUB-MATH,9,0.9589,1.0,0.8639,78.09,77.77,0.1169,80.5,0,70.46,B
STU-2026-0002,SUB-MATH,9,1.0,0.9311,0.889,90.28,95.02,0.1608,94.84,0,89.35,A
STU-2026-0003,SUB-MATH,9,0.9876,0.9915,0.8785,87.85,88.08,0.1152,81.62,0,84.65,A
STU-2026-0004,SUB-MATH,9,0.7245,0.7107,0.5527,53.04,57.26,-0.5455,39.0,3,49.2,F
STU-2026-0005,SUB-MATH,9,0.9158,0.9013,0.9327,79.27,73.02,-0.0515,76.64,0,76.58,B
STU-2026-0006,SUB-MATH,9,0.9511,0.9527,0.9089,73.94,73.88,-0.0291,89.57,0,69.83,C
STU-2026-0007,SUB-MATH,9,0.9155,0.9031,0.9444,64.97,64.14,0.1003,87.56,1,65.87,C
STU-2026-0008,SUB-MATH,9,0.6712,0.6708,0.6011,52.28,56.85,-0.3934,62.17,2,48.53,F
STU-2026-0009,SUB-MATH,9,0.9459,0.9166,0.6197,48.61,43.29,0.034,57.54,0,46.77,F
STU-2026-0010,SUB-MATH,9,0.843,0.8435,0.7103,77.79,79.25,0.1941,63.8,1,75.02,B
STU-2026-0011,SUB-MATH,9,0.9855,0.967,0.9051,90.48,95.73,0.0391,87.06,1,86.22,A
STU-2026-0012,SUB-MATH,9,1.0,1.0,0.9136,80.79,79.0,-0.0214,71.34,0,73.77,B
STU-2026-0013,SUB-MATH,9,0.9027,0.9275,0.8905,90.53,82.03,0.0011,82.56,0,81.61,A
STU-2026-0014,SUB-MATH,9,0.8293,0.8235,0.7713,64.14,65.41,0.0531,61.41,2,61.26,C
STU-2026-0015,SUB-MATH,9,0.952,0.9324,0.8911,93.19,91.06,-0.0186,91.04,0,87.3,A
STU-2026-0016,SUB-MATH,9,0.8211,0.8719,0.8109,61.28,54.85,0.1046,70.74,0,59.42,D
STU-2026-0017,SUB-MATH,9,0.9515,0.9661,0.939,76.9,81.7,0.0645,84.36,0,76.0,B
STU-2026-0018,SUB-MATH,9,0.911,0.9373,0.8809,87.65,96.42,0.0596,90.99,0,84.01,A
STU-2026-0019,SUB-MATH,9,0.8368,0.8136,0.7166,66.48,59.15,0.0256,66.09,0,60.66,C
STU-2026-0020,SUB-MATH,9,0.9925,0.9356,0.9,68.35,66.17,0.056,67.26,1,64.32,C
STU-2026-0021,SUB-MATH,9,0.6708,0.6441,0.5933,64.36,60.69,-0.273,59.32,4,61.21,C
STU-2026-0022,SUB-MATH,9,0.9679,0.9904,0.888,61.9,58.42,0.0264,93.44,0,59.91,D
STU-2026-0023,SUB-MATH,9,0.9613,0.969,0.8882,89.49,83.84,0.023,83.27,0,82.01,A
STU-2026-0024,SUB-MATH,9,0.9502,0.9537,0.8879,74.04,69.68,0.0804,90.27,1,67.27,C
STU-2026-0025,SUB-MATH,9,1.0,1.0,0.9471,80.59,84.93,-0.0029,99.0,1,74.9,B
STU-2026-0026,SUB-MATH,9,0.9293,0.9891,0.9336,75.02,75.3,0.0746,93.48,0,70.88,B
STU-2026-0027,SUB-MATH,9,0.8996,0.8956,0.8234,72.52,70.34,0.1002,82.8,0,74.62,B
STU-2026-0028,SUB-MATH,9,0.9648,0.9346,0.88,60.44,65.79,0.1297,87.05,0,62.98,C
STU-2026-0029,SUB-MATH,9,0.9436,0.9474,0.9709,82.85,83.13,0.0646,79.64,0,81.61,A
STU-2026-0030,SUB-MATH,9,0.9186,0.8891,0.9751,73.69,71.44,0.0952,81.03,0,73.74,B
STU-2026-0031,SUB-MATH,9,0.979,0.9603,0.9249,81.59,76.55,0.0679,86.36,0,75.09,B
STU-2026-0032,SUB-MATH,9,0.9724,0.9986,0.8591,74.39,71.35,0.0802,81.56,0,68.88,C
STU-2026-0033,SUB-MATH,9,0.9716,0.9849,0.8622,99.0,95.99,0.0004,87.8,0,96.58,A
