studentId,performance_trend,attendance_anomaly_score,mood_avg_7d,mood_avg_30d,mood_low_count_14d,wellbeing_signal_count,homework_completion_drop,engagement_drop,behavior_concerns_30d,safety_reports_submitted,riskScore,riskCategory,isAtRisk
STU-2026-0001,0.0176,0.4366,3.57,3.98,0,0,0.0,0.0,1,0,0.02,low,0
STU-2026-0002,0.016,0.1751,4.53,4.42,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0003,-0.0741,0.2175,4.95,4.06,1,0,0.0,0.0,0,0,0.0251,low,0
STU-2026-0004,-0.5399,-1.0068,2.5,2.24,6,3,0.1352,0.0972,2,1,0.6963,high,1
STU-2026-0005,0.0111,0.454,3.79,3.4,2,2,0.0,0.0,0,0,0.02,low,0
STU-2026-0006,0.0008,0.3991,3.96,3.85,1,1,0.0,0.0,0,0,0.02,low,0
STU-2026-0007,0.008,0.4676,4.23,4.0,0,0,0.0,0.0,0,0,0.0234,low,0
STU-2026-0008,-0.6307,-1.2966,3.23,3.07,3,2,0.2307,0.2019,1,0,0.7498,high,1
STU-2026-0009,-0.2374,-0.8358,4.04,3.49,0,2,0.0679,0.1078,2,1,0.4508,medium,0
STU-2026-0010,-0.2364,-0.6741,3.79,3.58,0,1,0.0281,0.0992,0,1,0.3951,medium,0
STU-2026-0011,0.035,-0.0024,4.71,4.42,2,0,0.0,0.0,0,0,0.0434,low,0
STU-2026-0012,-0.0348,0.3621,4.12,3.83,1,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0013,0.0127,0.6919,4.43,4.0,0,1,0.0,0.0,0,0,0.02,low,0
STU-2026-0014,-0.0995,-0.7728,3.32,3.3,3,1,0.1128,0.143,0,1,0.4958,medium,0
STU-2026-0015,0.0087,-0.2207,4.23,3.94,3,0,0.0,0.0,0,0,0.044,low,0
STU-2026-0016,-0.0535,-0.5983,2.65,2.63,0,2,0.0587,0.0615,0,0,0.4114,medium,0
STU-2026-0017,0.0549,0.0433,4.01,3.96,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0018,-0.0686,0.1808,4.14,4.04,0,1,0.0,0.0,1,0,0.02,low,0
STU-2026-0019,-0.2245,-0.4139,3.89,3.28,2,2,0.1239,0.0633,0,0,0.4531,medium,0
STU-2026-0020,-0.0034,0.2951,3.8,3.84,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0021,-0.4641,-1.0945,2.42,2.38,7,2,0.1542,0.2391,1,0,0.774,high,1
STU-2026-0022,-0.0224,-0.0428,3.97,3.87,0,0,0.0,0.0,0,0,0.0281,low,0
STU-2026-0023,-0.0279,0.0549,4.18,4.2,0,0,0.0,0.0,1,0,0.0596,low,0
STU-2026-0024,0.0455,0.4202,4.35,3.92,0,1,0.0,0.0,0,0,0.0204,low,0
STU-2026-0025,0.1096,-0.2805,3.83,3.82,0,1,0.0,0.0,0,0,0.02,low,0
STU-2026-0026,0.043,0.4886,4.34,4.51,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0027,0.0427,-0.0505,4.06,3.45,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0028,0.0125,0.1314,3.99,4.38,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0029,0.095,-0.1467,3.79,4.42,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0030,0.0101,0.3437,4.16,4.26,1,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0031,0.1244,0.4829,4.3,4.38,0,1,0.0,0.0,0,0,0.02,low,0
STU-2026-0032,-0.0336,0.7273,3.97,4.15,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0033,-0.012,0.3894,4.65,4.79,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0034,-0.0543,0.032,4.34,4.79,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0035,-0.0252,0.1868,3.93,3.98,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0036,-0.0377,0.7211,4.27,3.91,0,1,0.0,0.0,0,0,0.0313,low,0
STU-2026-0037,-0.1661,-0.6809,3.37,3.01,2,1,0.1134,0.112,1,0,0.4851,medium,0
STU-2026-0038,0.0536,0.8206,5.0,5.0,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0039,-0.191,-0.6839,3.43,2.76,4,3,0.0707,0.1156,1,0,0.4929,medium,0
STU-2026-0040,-0.3613,-1.4029,2.7,3.05,7,3,0.2061,0.3072,3,0,0.8113,high,1
STU-2026-0041,0.0201,0.1954,4.43,4.85,0,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0042,-0.0459,0.3073,4.56,4.47,1,0,0.0,0.0,0,0,0.022,low,0
STU-2026-0043,0.0774,-0.0706,4.22,4.55,1,0,0.0,0.0,0,0,0.02,low,0
STU-2026-0044,-0.5893,-1.5952,1.92,2.82,5,2,0.1992,0.2356,1,0,0.7836,high,1
STU-2026-0045,-0.1302,-0.8358,2.91,3.38,1,0,0.1137,0.1024,0,0,0.4583,medium,0
STU-2026-0046,0.1274,0.3849,4.12,4.2,2,0,0.0,0.0,0,0,0.0552,low,0
