incidentId,incidentType,latitude,longitude,incidentDate,severity,locationDescription,schoolId
INC-0001,physical_altercation,28.536705,77.392517,2026-03-04,high,Behind Sports Complex,SCH-001
INC-0002,bullying,28.534016,77.38996,2025-09-11,medium,East Stairwell - Block B,SCH-001
INC-0003,theft,28.536249,77.390137,2026-01-15,low,Unmonitored Cafeteria Corner,SCH-001
INC-0004,bullying,28.533912,77.392361,2026-01-27,high,Back Gate / Bus Parking Bay,SCH-001
INC-0005,physical_altercation,28.53658,77.391946,2025-12-30,high,Behind Sports Complex,SCH-001
INC-0006,bullying,28.53417,77.389957,2026-02-20,medium,East Stairwell - Block B,SCH-001
INC-0007,theft,28.535974,77.390137,2026-03-13,low,Unmonitored Cafeteria Corner,SCH-001
INC-0008,bullying,28.533667,77.392819,2026-03-27,high,Back Gate / Bus Parking Bay,SCH-001
INC-0009,physical_altercation,28.536962,77.392517,2026-04-14,high,Behind Sports Complex,SCH-001
INC-0010,bullying,28.534027,77.389916,2025-11-21,medium,East Stairwell - Block B,SCH-001
INC-0011,theft,28.535923,77.39025,2025-11-17,low,Unmonitored Cafeteria Corner,SCH-001
INC-0012,bullying,28.533721,77.392113,2026-02-13,high,Back Gate / Bus Parking Bay,SCH-001
INC-0013,physical_altercation,28.536859,77.392305,2026-01-02,high,Behind Sports Complex,SCH-001
INC-0014,bullying,28.534395,77.389635,2025-11-25,medium,East Stairwell - Block B,SCH-001
INC-0015,theft,28.536086,77.390289,2026-03-16,low,Unmonitored Cafeteria Corner,SCH-001
INC-0016,bullying,28.533832,77.392788,2026-01-07,high,Back Gate / Bus Parking Bay,SCH-001
INC-0017,physical_altercation,28.53656,77.39202,2025-11-20,high,Behind Sports Complex,SCH-001
INC-0018,bullying,28.534087,77.389761,2026-02-26,medium,East Stairwell - Block B,SCH-001
INC-0019,theft,28.536084,77.389959,2025-11-06,low,Unmonitored Cafeteria Corner,SCH-001
INC-0020,bullying,28.534004,77.392395,2026-01-29,high,Back Gate / Bus Parking Bay,SCH-001
INC-0021,physical_altercation,28.536962,77.392404,2025-11-07,high,Behind Sports Complex,SCH-001
INC-0022,bullying,28.53413,77.38979,2025-12-12,medium,East Stairwell - Block B,SCH-001
INC-0023,theft,28.536094,77.390127,2025-09-18,low,Unmonitored Cafeteria Corner,SCH-001
INC-0024,bullying,28.534185,77.392111,2026-02-11,high,Back Gate / Bus Parking Bay,SCH-001
INC-0025,physical_altercation,28.536783,77.392304,2025-08-18,high,Behind Sports Complex,SCH-001
INC-0026,bullying,28.534139,77.389915,2025-09-15,medium,East Stairwell - Block B,SCH-001
INC-0027,theft,28.536313,77.389794,2026-01-21,low,Unmonitored Cafeteria Corner,SCH-001
INC-0028,bullying,28.533937,77.392143,2025-12-29,high,Back Gate / Bus Parking Bay,SCH-001
INC-0029,physical_altercation,28.536589,77.392298,2026-01-02,high,Behind Sports Complex,SCH-001
INC-0030,bullying,28.534187,77.389605,2026-01-15,medium,East Stairwell - Block B,SCH-001
INC-0031,theft,28.535886,77.389918,2025-11-27,low,Unmonitored Cafeteria Corner,SCH-001
INC-0032,bullying,28.534032,77.392288,2026-03-27,high,Back Gate / Bus Parking Bay,SCH-001
INC-0033,physical_altercation,28.536731,77.392463,2025-10-29,high,Behind Sports Complex,SCH-001
INC-0034,bullying,28.534102,77.389533,2025-11-11,medium,East Stairwell - Block B,SCH-001
INC-0035,theft,28.536198,77.390157,2025-12-08,low,Unmonitored Cafeteria Corner,SCH-001
INC-0036,bullying,28.533815,77.392853,2026-02-11,high,Back Gate / Bus Parking Bay,SCH-001
INC-0037,physical_altercation,28.536772,77.392187,2026-03-27,high,Behind Sports Complex,SCH-001
INC-0038,bullying,28.534489,77.389905,2025-09-22,medium,East Stairwell - Block B,SCH-001
INC-0039,theft,28.536145,77.389945,2025-12-23,low,Unmonitored Cafeteria Corner,SCH-001
INC-0040,bullying,28.533864,77.392593,2025-09-25,high,Back Gate / Bus Parking Bay,SCH-001
INC-0041,physical_altercation,28.537182,77.392431,2025-09-08,high,Behind Sports Complex,SCH-001
INC-0042,bullying,28.53416,77.389744,2026-03-26,medium,East Stairwell - Block B,SCH-001
INC-0043,theft,28.535968,77.39031,2025-09-11,low,Unmonitored Cafeteria Corner,SCH-001
INC-0044,bullying,28.533984,77.392923,2026-03-05,high,Back Gate / Bus Parking Bay,SCH-001
INC-0045,physical_altercation,28.537255,77.392137,2026-02-17,high,Behind Sports Complex,SCH-001
INC-0046,bullying,28.534173,77.389796,2025-08-27,medium,East Stairwell - Block B,SCH-001
INC-0047,theft,28.536197,77.390115,2026-01-27,low,Unmonitored Cafeteria Corner,SCH-001
INC-0048,bullying,28.533794,77.392446,2025-09-05,high,Back Gate / Bus Parking Bay,SCH-001
INC-0049,physical_altercation,28.537016,77.392146,2025-12-10,high,Behind Sports Complex,SCH-001
INC-0050,bullying,28.534328,77.389911,2025-12-24,medium,East Stairwell - Block B,SCH-001
INC-0051,theft,28.536275,77.389922,2025-12-09,low,Unmonitored Cafeteria Corner,SCH-001
INC-0052,bullying,28.533793,77.392243,2026-02-10,high,Back Gate / Bus Parking Bay,SCH-001
INC-0053,physical_altercation,28.536864,77.39203,2026-01-29,high,Behind Sports Complex,SCH-001
INC-0054,bullying,28.534131,77.389734,2026-03-11,medium,East Stairwell - Block B,SCH-001
INC-0055,theft,28.536038,77.390387,2025-09-10,low,Unmonitored Cafeteria Corner,SCH-001
INC-0056,bullying,28.533772,77.392585,2026-03-23,high,Back Gate / Bus Parking Bay,SCH-001
INC-0057,physical_altercation,28.536754,77.392195,2025-10-03,high,Behind Sports Complex,SCH-001
INC-0058,bullying,28.534219,77.38961,2025-11-19,medium,East Stairwell - Block B,SCH-001
INC-0059,theft,28.535935,77.390092,2026-01-20,low,Unmonitored Cafeteria Corner,SCH-001
INC-0060,bullying,28.53372,77.392676,2025-10-27,high,Back Gate / Bus Parking Bay,SCH-001
INC-0061,physical_altercation,28.536896,77.392437,2026-01-26,high,Behind Sports Complex,SCH-001
INC-0062,bullying,28.534313,77.389722,2026-04-21,medium,East Stairwell - Block B,SCH-001
INC-0063,theft,28.535968,77.390145,2026-03-16,low,Unmonitored Cafeteria Corner,SCH-001
INC-0064,bullying,28.533889,77.392413,2025-10-01,high,Back Gate / Bus Parking Bay,SCH-001
INC-0065,physical_altercation,28.536843,77.392082,2026-04-10,high,Behind Sports Complex,SCH-001
INC-0066,bullying,28.534341,77.389863,2026-03-18,medium,East Stairwell - Block B,SCH-001
INC-0067,theft,28.536095,77.390063,2025-09-23,low,Unmonitored Cafeteria Corner,SCH-001
INC-0068,bullying,28.533773,77.392595,2026-02-17,high,Back Gate / Bus Parking Bay,SCH-001
INC-0069,physical_altercation,28.536719,77.392383,2026-04-20,high,Behind Sports Complex,SCH-001
INC-0070,bullying,28.534457,77.390146,2025-11-04,medium,East Stairwell - Block B,SCH-001
INC-0071,theft,28.536224,77.389983,2025-10-31,low,Unmonitored Cafeteria Corner,SCH-001
INC-0072,bullying,28.533918,77.392327,2025-12-15,high,Back Gate / Bus Parking Bay,SCH-001
INC-0073,physical_altercation,28.536636,77.392044,2026-04-23,high,Behind Sports Complex,SCH-001
INC-0074,bullying,28.534118,77.38983,2026-02-13,medium,East Stairwell - Block B,SCH-001
INC-0075,theft,28.535963,77.390126,2025-09-02,low,Unmonitored Cafeteria Corner,SCH-001
INC-0076,bullying,28.533827,77.39257,2026-02-17,high,Back Gate / Bus Parking Bay,SCH-001
INC-0077,physical_altercation,28.536842,77.392109,2026-01-08,high,Behind Sports Complex,SCH-001
INC-0078,bullying,28.533912,77.38978,2025-12-31,medium,East Stairwell - Block B,SCH-001
INC-0079,theft,28.535661,77.390314,2026-03-09,low,Unmonitored Cafeteria Corner,SCH-001
INC-0080,bullying,28.533743,77.39253,2026-04-23,high,Back Gate / Bus Parking Bay,SCH-001
INC-0081,physical_altercation,28.536847,77.391885,2025-11-14,high,Behind Sports Complex,SCH-001
INC-0082,bullying,28.534055,77.389977,2025-11-21,medium,East Stairwell - Block B,SCH-001
INC-0083,theft,28.536335,77.390149,2025-12-10,low,Unmonitored Cafeteria Corner,SCH-001
INC-0084,bullying,28.53369,77.392468,2026-01-13,high,Back Gate / Bus Parking Bay,SCH-001
