assignmentId,classId,subjectId,teacherId,title,dueDate,maxMarks,schoolId
ASG-0001,CLS-9A,SUB-MATH,TCH-001,Mathematics Assignment #1,2025-09-01,20,SCH-001
ASG-0002,CLS-9A,SUB-MATH,TCH-001,Mathematics Assignment #2,2025-09-16,20,SCH-001
ASG-0003,CLS-9A,SUB-MATH,TCH-001,Mathematics Assignment #3,2025-10-01,20,SCH-001
ASG-0004,CLS-9A,SUB-MATH,TCH-001,Mathematics Assignment #4,2025-10-17,20,SCH-001
ASG-0005,CLS-9A,SUB-MATH,TCH-001,Mathematics Assignment #5,2025-11-03,20,SCH-001
ASG-0006,CLS-9A,SUB-MATH,TCH-001,Mathematics Assignment #6,2025-11-19,20,SCH-001
ASG-0007,CLS-9A,SUB-MATH,TCH-001,Mathematics Assignment #7,2025-12-04,20,SCH-001
ASG-0008,CLS-9A,SUB-MATH,TCH-001,Mathematics Assignment #8,2025-12-22,20,SCH-001
ASG-0009,CLS-9A,SUB-MATH,TCH-001,Mathematics Assignment #9,2026-01-06,20,SCH-001
ASG-0010,CLS-9A,SUB-MATH,TCH-001,Mathematics Assignment #10,2026-01-21,20,SCH-001
ASG-0011,CLS-9A,SUB-MATH,TCH-001,Mathematics Assignment #11,2026-02-06,20,SCH-001
ASG-0012,CLS-9A,SUB-MATH,TCH-001,Mathematics Assignment #12,2026-02-23,20,SCH-001
ASG-0013,CLS-9A,SUB-MATH,TCH-001,Mathematics Assignment #13,2026-03-11,20,SCH-001
ASG-0014,CLS-9A,SUB-MATH,TCH-001,Mathematics Assignment #14,2026-03-26,20,SCH-001
ASG-0015,CLS-9A,SUB-MATH,TCH-001,Mathematics Assignment #15,2026-04-13,20,SCH-001
ASG-0016,CLS-9A,SUB-PHY,TCH-002,Physics Assignment #1,2025-09-01,20,SCH-001
ASG-0017,CLS-9A,SUB-PHY,TCH-002,Physics Assignment #2,2025-09-16,20,SCH-001
ASG-0018,CLS-9A,SUB-PHY,TCH-002,Physics Assignment #3,2025-10-01,20,SCH-001
ASG-0019,CLS-9A,SUB-PHY,TCH-002,Physics Assignment #4,2025-10-17,20,SCH-001
ASG-0020,CLS-9A,SUB-PHY,TCH-002,Physics Assignment #5,2025-11-03,20,SCH-001
ASG-0021,CLS-9A,SUB-PHY,TCH-002,Physics Assignment #6,2025-11-19,20,SCH-001
ASG-0022,CLS-9A,SUB-PHY,TCH-002,Physics Assignment #7,2025-12-04,20,SCH-001
ASG-0023,CLS-9A,SUB-PHY,TCH-002,Physics Assignment #8,2025-12-22,20,SCH-001
ASG-0024,CLS-9A,SUB-PHY,TCH-002,Physics Assignment #9,2026-01-06,20,SCH-001
ASG-0025,CLS-9A,SUB-PHY,TCH-002,Physics Assignment #10,2026-01-21,20,SCH-001
ASG-0026,CLS-9A,SUB-PHY,TCH-002,Physics Assignment #11,2026-02-06,20,SCH-001
ASG-0027,CLS-9A,SUB-PHY,TCH-002,Physics Assignment #12,2026-02-23,20,SCH-001
ASG-0028,CLS-9A,SUB-PHY,TCH-002,Physics Assignment #13,2026-03-11,20,SCH-001
ASG-0029,CLS-9A,SUB-PHY,TCH-002,Physics Assignment #14,2026-03-26,20,SCH-001
ASG-0030,CLS-9A,SUB-PHY,TCH-002,Physics Assignment #15,2026-04-13,20,SCH-001
ASG-0031,CLS-9A,SUB-CHEM,TCH-003,Chemistry Assignment #1,2025-09-01,20,SCH-001
ASG-0032,CLS-9A,SUB-CHEM,TCH-003,Chemistry Assignment #2,2025-09-16,20,SCH-001
ASG-0033,CLS-9A,SUB-CHEM,TCH-003,Chemistry Assignment #3,2025-10-01,20,SCH-001
ASG-0034,CLS-9A,SUB-CHEM,TCH-003,Chemistry Assignment #4,2025-10-17,20,SCH-001
ASG-0035,CLS-9A,SUB-CHEM,TCH-003,Chemistry Assignment #5,2025-11-03,20,SCH-001
ASG-0036,CLS-9A,SUB-CHEM,TCH-003,Chemistry Assignment #6,2025-11-19,20,SCH-001
ASG-0037,CLS-9A,SUB-CHEM,TCH-003,Chemistry Assignment #7,2025-12-04,20,SCH-001
ASG-0038,CLS-9A,SUB-CHEM,TCH-003,Chemistry Assignment #8,2025-12-22,20,SCH-001
ASG-0039,CLS-9A,SUB-CHEM,TCH-003,Chemistry Assignment #9,2026-01-06,20,SCH-001
