busId,registrationNumber,capacity,deviceId,routeCode,schoolId
BUS-001,DL-01-AB-1001,45,GPS-DEV-001,ROUTE-01,SCH-001
BUS-002,DL-01-AB-1002,45,GPS-DEV-002,ROUTE-02,SCH-001
BUS-003,DL-01-AB-1003,45,GPS-DEV-003,ROUTE-03,SCH-001
BUS-004,DL-01-AB-1004,45,GPS-DEV-004,ROUTE-04,SCH-001
BUS-005,DL-01-AB-1005,45,GPS-DEV-005,ROUTE-05,SCH-001
BUS-006,DL-01-AB-1006,45,GPS-DEV-006,ROUTE-06,SCH-001
BUS-007,DL-01-AB-1007,45,GPS-DEV-007,ROUTE-07,SCH-001
BUS-008,DL-01-AB-1008,45,GPS-DEV-008,ROUTE-08,SCH-001
BUS-009,DL-01-AB-1009,45,GPS-DEV-009,ROUTE-09,SCH-001
BUS-010,DL-01-AB-1010,45,GPS-DEV-010,ROUTE-10,SCH-001
