studentId,examId,subjectId,marksObtained,grade,isPassed,schoolId
STU-2026-0001,EXM-0001,SUB-MATH,20.1,A,True,SCH-001
STU-2026-0002,EXM-0001,SUB-MATH,23.2,A+,True,SCH-001
STU-2026-0003,EXM-0001,SUB-MATH,22.3,A,True,SCH-001
STU-2026-0004,EXM-0001,SUB-MATH,15.0,C,True,SCH-001
STU-2026-0005,EXM-0001,SUB-MATH,18.1,B,True,SCH-001
STU-2026-0006,EXM-0001,SUB-MATH,18.4,B,True,SCH-001
STU-2026-0007,EXM-0001,SUB-MATH,16.8,C,True,SCH-001
STU-2026-0008,EXM-0001,SUB-MATH,17.3,C,True,SCH-001
STU-2026-0009,EXM-0001,SUB-MATH,7.7,F,False,SCH-001
STU-2026-0010,EXM-0001,SUB-MATH,19.1,B,True,SCH-001
STU-2026-0011,EXM-0001,SUB-MATH,22.3,A,True,SCH-001
STU-2026-0012,EXM-0001,SUB-MATH,23.0,A+,True,SCH-001
STU-2026-0013,EXM-0001,SUB-MATH,19.7,B,True,SCH-001
STU-2026-0014,EXM-0001,SUB-MATH,17.1,C,True,SCH-001
STU-2026-0015,EXM-0001,SUB-MATH,22.4,A,True,SCH-001
STU-2026-0016,EXM-0001,SUB-MATH,16.7,C,True,SCH-001
STU-2026-0017,EXM-0001,SUB-MATH,21.5,A,True,SCH-001
STU-2026-0018,EXM-0001,SUB-MATH,19.5,B,True,SCH-001
STU-2026-0019,EXM-0001,SUB-MATH,16.4,C,True,SCH-001
STU-2026-0020,EXM-0001,SUB-MATH,14.4,D,True,SCH-001
STU-2026-0021,EXM-0001,SUB-MATH,12.0,F,True,SCH-001
STU-2026-0022,EXM-0001,SUB-MATH,16.4,C,True,SCH-001
STU-2026-0023,EXM-0001,SUB-MATH,21.6,A,True,SCH-001
STU-2026-0024,EXM-0001,SUB-MATH,21.8,A,True,SCH-001
STU-2026-0025,EXM-0001,SUB-MATH,19.5,B,True,SCH-001
STU-2026-0026,EXM-0001,SUB-MATH,23.3,A+,True,SCH-001
STU-2026-0027,EXM-0001,SUB-MATH,19.8,B,True,SCH-001
STU-2026-0028,EXM-0001,SUB-MATH,14.1,D,True,SCH-001
STU-2026-0029,EXM-0001,SUB-MATH,19.2,B,True,SCH-001
STU-2026-0030,EXM-0001,SUB-MATH,19.6,B,True,SCH-001
STU-2026-0031,EXM-0001,SUB-MATH,20.9,A,True,SCH-001
STU-2026-0032,EXM-0001,SUB-MATH,14.5,D,True,SCH-001
STU-2026-0033,EXM-0001,SUB-MATH,24.8,A+,True,SCH-001
STU-2026-0034,EXM-0001,SUB-MATH,21.1,A,True,SCH-001
STU-2026-0035,EXM-0001,SUB-MATH,20.1,A,True,SCH-001
STU-2026-0036,EXM-0001,SUB-MATH,23.5,A+,True,SCH-001
STU-2026-0037,EXM-0001,SUB-MATH,20.5,A,True,SCH-001
STU-2026-0038,EXM-0001,SUB-MATH,20.3,A,True,SCH-001
STU-2026-0039,EXM-0001,SUB-MATH,12.0,F,True,SCH-001
STU-2026-0040,EXM-0001,SUB-MATH,13.9,D,True,SCH-001
STU-2026-0041,EXM-0001,SUB-MATH,22.4,A,True,SCH-001
STU-2026-0042,EXM-0001,SUB-MATH,18.7,B,True,SCH-001
STU-2026-0043,EXM-0001,SUB-MATH,20.7,A,True,SCH-001
STU-2026-0044,EXM-0001,SUB-MATH,11.7,F,True,SCH-001
STU-2026-0045,EXM-0001,SUB-MATH,16.3,C,True,SCH-001
STU-2026-0046,EXM-0001,SUB-MATH,19.7,B,True,SCH-001
STU-2026-0047,EXM-0001,SUB-MATH,18.8,B,True,SCH-001
STU-2026-0048,EXM-0001,SUB-MATH,18.1,B,True,SCH-001
