examId,name,type,classId,subjectId,maxMarks,passingMarks,examDate,academicYear,schoolId
EXM-0001,Grade 9-A MATH Unit Test 1,unit_test,CLS-9A,SUB-MATH,25,9,2025-09-29,2025-26,SCH-001
EXM-0002,Grade 9-A PHY Unit Test 1,unit_test,CLS-9A,SUB-PHY,25,9,2025-09-29,2025-26,SCH-001
EXM-0003,Grade 9-A CHEM Unit Test 1,unit_test,CLS-9A,SUB-CHEM,25,9,2025-09-29,2025-26,SCH-001
EXM-0004,Grade 9-A ENG Unit Test 1,unit_test,CLS-9A,SUB-ENG,25,9,2025-09-29,2025-26,SCH-001
EXM-0005,Grade 9-A HIST Unit Test 1,unit_test,CLS-9A,SUB-HIST,25,9,2025-09-29,2025-26,SCH-001
EXM-0006,Grade 9-B MATH Unit Test 1,unit_test,CLS-9B,SUB-MATH,25,9,2025-09-29,2025-26,SCH-001
EXM-0007,Grade 9-B PHY Unit Test 1,unit_test,CLS-9B,SUB-PHY,25,9,2025-09-29,2025-26,SCH-001
EXM-0008,Grade 9-B CHEM Unit Test 1,unit_test,CLS-9B,SUB-CHEM,25,9,2025-09-29,2025-26,SCH-001
EXM-0009,Grade 9-B ENG Unit Test 1,unit_test,CLS-9B,SUB-ENG,25,9,2025-09-29,2025-26,SCH-001
EXM-0010,Grade 9-B HIST Unit Test 1,unit_test,CLS-9B,SUB-HIST,25,9,2025-09-29,2025-26,SCH-001
EXM-0011,Grade 9-C MATH Unit Test 1,unit_test,CLS-9C,SUB-MATH,25,9,2025-09-29,2025-26,SCH-001
EXM-0012,Grade 9-C PHY Unit Test 1,unit_test,CLS-9C,SUB-PHY,25,9,2025-09-29,2025-26,SCH-001
EXM-0013,Grade 9-C CHEM Unit Test 1,unit_test,CLS-9C,SUB-CHEM,25,9,2025-09-29,2025-26,SCH-001
EXM-0014,Grade 9-C ENG Unit Test 1,unit_test,CLS-9C,SUB-ENG,25,9,2025-09-29,2025-26,SCH-001
EXM-0015,Grade 9-C HIST Unit Test 1,unit_test,CLS-9C,SUB-HIST,25,9,2025-09-29,2025-26,SCH-001
EXM-0016,Grade 10-A MATH Unit Test 1,unit_test,CLS-10A,SUB-MATH,25,9,2025-09-29,2025-26,SCH-001
EXM-0017,Grade 10-A PHY Unit Test 1,unit_test,CLS-10A,SUB-PHY,25,9,2025-09-29,2025-26,SCH-001
EXM-0018,Grade 10-A CHEM Unit Test 1,unit_test,CLS-10A,SUB-CHEM,25,9,2025-09-29,2025-26,SCH-001
EXM-0019,Grade 10-A ENG Unit Test 1,unit_test,CLS-10A,SUB-ENG,25,9,2025-09-29,2025-26,SCH-001
EXM-0020,Grade 10-A HIST Unit Test 1,unit_test,CLS-10A,SUB-HIST,25,9,2025-09-29,2025-26,SCH-001
EXM-0021,Grade 10-B MATH Unit Test 1,unit_test,CLS-10B,SUB-MATH,25,9,2025-09-29,2025-26,SCH-001
EXM-0022,Grade 10-B PHY Unit Test 1,unit_test,CLS-10B,SUB-PHY,25,9,2025-09-29,2025-26,SCH-001
EXM-0023,Grade 10-B CHEM Unit Test 1,unit_test,CLS-10B,SUB-CHEM,25,9,2025-09-29,2025-26,SCH-001
EXM-0024,Grade 10-B ENG Unit Test 1,unit_test,CLS-10B,SUB-ENG,25,9,2025-09-29,2025-26,SCH-001
EXM-0025,Grade 10-B HIST Unit Test 1,unit_test,CLS-10B,SUB-HIST,25,9,2025-09-29,2025-26,SCH-001
EXM-0026,Grade 10-C MATH Unit Test 1,unit_test,CLS-10C,SUB-MATH,25,9,2025-09-29,2025-26,SCH-001
EXM-0027,Grade 10-C PHY Unit Test 1,unit_test,CLS-10C,SUB-PHY,25,9,2025-09-29,2025-26,SCH-001
EXM-0028,Grade 10-C CHEM Unit Test 1,unit_test,CLS-10C,SUB-CHEM,25,9,2025-09-29,2025-26,SCH-001
EXM-0029,Grade 10-C ENG Unit Test 1,unit_test,CLS-10C,SUB-ENG,25,9,2025-09-29,2025-26,SCH-001
EXM-0030,Grade 10-C HIST Unit Test 1,unit_test,CLS-10C,SUB-HIST,25,9,2025-09-29,2025-26,SCH-001
EXM-0031,Grade 11-A MATH Unit Test 1,unit_test,CLS-11A,SUB-MATH,25,9,2025-09-29,2025-26,SCH-001
EXM-0032,Grade 11-A PHY Unit Test 1,unit_test,CLS-11A,SUB-PHY,25,9,2025-09-29,2025-26,SCH-001
EXM-0033,Grade 11-A CHEM Unit Test 1,unit_test,CLS-11A,SUB-CHEM,25,9,2025-09-29,2025-26,SCH-001
EXM-0034,Grade 11-A ENG Unit Test 1,unit_test,CLS-11A,SUB-ENG,25,9,2025-09-29,2025-26,SCH-001
EXM-0035,Grade 11-A HIST Unit Test 1,unit_test,CLS-11A,SUB-HIST,25,9,2025-09-29,2025-26,SCH-001
EXM-0036,Grade 11-B MATH Unit Test 1,unit_test,CLS-11B,SUB-MATH,25,9,2025-09-29,2025-26,SCH-001
EXM-0037,Grade 11-B PHY Unit Test 1,unit_test,CLS-11B,SUB-PHY,25,9,2025-09-29,2025-26,SCH-001
EXM-0038,Grade 11-B CHEM Unit Test 1,unit_test,CLS-11B,SUB-CHEM,25,9,2025-09-29,2025-26,SCH-001
EXM-0039,Grade 11-B ENG Unit Test 1,unit_test,CLS-11B,SUB-ENG,25,9,2025-09-29,2025-26,SCH-001
EXM-0040,Grade 11-B HIST Unit Test 1,unit_test,CLS-11B,SUB-HIST,25,9,2025-09-29,2025-26,SCH-001
EXM-0041,Grade 11-C MATH Unit Test 1,unit_test,CLS-11C,SUB-MATH,25,9,2025-09-29,2025-26,SCH-001
EXM-0042,Grade 11-C PHY Unit Test 1,unit_test,CLS-11C,SUB-PHY,25,9,2025-09-29,2025-26,SCH-001
EXM-0043,Grade 11-C CHEM Unit Test 1,unit_test,CLS-11C,SUB-CHEM,25,9,2025-09-29,2025-26,SCH-001
EXM-0044,Grade 11-C ENG Unit Test 1,unit_test,CLS-11C,SUB-ENG,25,9,2025-09-29,2025-26,SCH-001
EXM-0045,Grade 11-C HIST Unit Test 1,unit_test,CLS-11C,SUB-HIST,25,9,2025-09-29,2025-26,SCH-001
EXM-0046,Grade 9-A MATH Mid-Term,mid_term,CLS-9A,SUB-MATH,100,35,2025-12-01,2025-26,SCH-001
EXM-0047,Grade 9-A PHY Mid-Term,mid_term,CLS-9A,SUB-PHY,100,35,2025-12-01,2025-26,SCH-001
EXM-0048,Grade 9-A CHEM Mid-Term,mid_term,CLS-9A,SUB-CHEM,100,35,2025-12-01,2025-26,SCH-001
EXM-0049,Grade 9-A ENG Mid-Term,mid_term,CLS-9A,SUB-ENG,100,35,2025-12-01,2025-26,SCH-001
EXM-0050,Grade 9-A HIST Mid-Term,mid_term,CLS-9A,SUB-HIST,100,35,2025-12-01,2025-26,SCH-001
EXM-0051,Grade 9-B MATH Mid-Term,mid_term,CLS-9B,SUB-MATH,100,35,2025-12-01,2025-26,SCH-001
EXM-0052,Grade 9-B PHY Mid-Term,mid_term,CLS-9B,SUB-PHY,100,35,2025-12-01,2025-26,SCH-001
EXM-0053,Grade 9-B CHEM Mid-Term,mid_term,CLS-9B,SUB-CHEM,100,35,2025-12-01,2025-26,SCH-001
EXM-0054,Grade 9-B ENG Mid-Term,mid_term,CLS-9B,SUB-ENG,100,35,2025-12-01,2025-26,SCH-001
EXM-0055,Grade 9-B HIST Mid-Term,mid_term,CLS-9B,SUB-HIST,100,35,2025-12-01,2025-26,SCH-001
EXM-0056,Grade 9-C MATH Mid-Term,mid_term,CLS-9C,SUB-MATH,100,35,2025-12-01,2025-26,SCH-001
EXM-0057,Grade 9-C PHY Mid-Term,mid_term,CLS-9C,SUB-PHY,100,35,2025-12-01,2025-26,SCH-001
EXM-0058,Grade 9-C CHEM Mid-Term,mid_term,CLS-9C,SUB-CHEM,100,35,2025-12-01,2025-26,SCH-001
EXM-0059,Grade 9-C ENG Mid-Term,mid_term,CLS-9C,SUB-ENG,100,35,2025-12-01,2025-26,SCH-001
EXM-0060,Grade 9-C HIST Mid-Term,mid_term,CLS-9C,SUB-HIST,100,35,2025-12-01,2025-26,SCH-001
EXM-0061,Grade 10-A MATH Mid-Term,mid_term,CLS-10A,SUB-MATH,100,35,2025-12-01,2025-26,SCH-001
EXM-0062,Grade 10-A PHY Mid-Term,mid_term,CLS-10A,SUB-PHY,100,35,2025-12-01,2025-26,SCH-001
EXM-0063,Grade 10-A CHEM Mid-Term,mid_term,CLS-10A,SUB-CHEM,100,35,2025-12-01,2025-26,SCH-001
EXM-0064,Grade 10-A ENG Mid-Term,mid_term,CLS-10A,SUB-ENG,100,35,2025-12-01,2025-26,SCH-001
EXM-0065,Grade 10-A HIST Mid-Term,mid_term,CLS-10A,SUB-HIST,100,35,2025-12-01,2025-26,SCH-001
EXM-0066,Grade 10-B MATH Mid-Term,mid_term,CLS-10B,SUB-MATH,100,35,2025-12-01,2025-26,SCH-001
EXM-0067,Grade 10-B PHY Mid-Term,mid_term,CLS-10B,SUB-PHY,100,35,2025-12-01,2025-26,SCH-001
EXM-0068,Grade 10-B CHEM Mid-Term,mid_term,CLS-10B,SUB-CHEM,100,35,2025-12-01,2025-26,SCH-001
EXM-0069,Grade 10-B ENG Mid-Term,mid_term,CLS-10B,SUB-ENG,100,35,2025-12-01,2025-26,SCH-001
EXM-0070,Grade 10-B HIST Mid-Term,mid_term,CLS-10B,SUB-HIST,100,35,2025-12-01,2025-26,SCH-001
EXM-0071,Grade 10-C MATH Mid-Term,mid_term,CLS-10C,SUB-MATH,100,35,2025-12-01,2025-26,SCH-001
EXM-0072,Grade 10-C PHY Mid-Term,mid_term,CLS-10C,SUB-PHY,100,35,2025-12-01,2025-26,SCH-001
EXM-0073,Grade 10-C CHEM Mid-Term,mid_term,CLS-10C,SUB-CHEM,100,35,2025-12-01,2025-26,SCH-001
EXM-0074,Grade 10-C ENG Mid-Term,mid_term,CLS-10C,SUB-ENG,100,35,2025-12-01,2025-26,SCH-001
EXM-0075,Grade 10-C HIST Mid-Term,mid_term,CLS-10C,SUB-HIST,100,35,2025-12-01,2025-26,SCH-001
EXM-0076,Grade 11-A MATH Mid-Term,mid_term,CLS-11A,SUB-MATH,100,35,2025-12-01,2025-26,SCH-001
EXM-0077,Grade 11-A PHY Mid-Term,mid_term,CLS-11A,SUB-PHY,100,35,2025-12-01,2025-26,SCH-001
EXM-0078,Grade 11-A CHEM Mid-Term,mid_term,CLS-11A,SUB-CHEM,100,35,2025-12-01,2025-26,SCH-001
EXM-0079,Grade 11-A ENG Mid-Term,mid_term,CLS-11A,SUB-ENG,100,35,2025-12-01,2025-26,SCH-001
EXM-0080,Grade 11-A HIST Mid-Term,mid_term,CLS-11A,SUB-HIST,100,35,2025-12-01,2025-26,SCH-001
EXM-0081,Grade 11-B MATH Mid-Term,mid_term,CLS-11B,SUB-MATH,100,35,2025-12-01,2025-26,SCH-001
EXM-0082,Grade 11-B PHY Mid-Term,mid_term,CLS-11B,SUB-PHY,100,35,2025-12-01,2025-26,SCH-001
EXM-0083,Grade 11-B CHEM Mid-Term,mid_term,CLS-11B,SUB-CHEM,100,35,2025-12-01,2025-26,SCH-001
EXM-0084,Grade 11-B ENG Mid-Term,mid_term,CLS-11B,SUB-ENG,100,35,2025-12-01,2025-26,SCH-001
EXM-0085,Grade 11-B HIST Mid-Term,mid_term,CLS-11B,SUB-HIST,100,35,2025-12-01,2025-26,SCH-001
EXM-0086,Grade 11-C MATH Mid-Term,mid_term,CLS-11C,SUB-MATH,100,35,2025-12-01,2025-26,SCH-001
EXM-0087,Grade 11-C PHY Mid-Term,mid_term,CLS-11C,SUB-PHY,100,35,2025-12-01,2025-26,SCH-001
EXM-0088,Grade 11-C CHEM Mid-Term,mid_term,CLS-11C,SUB-CHEM,100,35,2025-12-01,2025-26,SCH-001
EXM-0089,Grade 11-C ENG Mid-Term,mid_term,CLS-11C,SUB-ENG,100,35,2025-12-01,2025-26,SCH-001
EXM-0090,Grade 11-C HIST Mid-Term,mid_term,CLS-11C,SUB-HIST,100,35,2025-12-01,2025-26,SCH-001
EXM-0091,Grade 9-A MATH Unit Test 2,unit_test,CLS-9A,SUB-MATH,25,9,2026-01-26,2025-26,SCH-001
EXM-0092,Grade 9-A PHY Unit Test 2,unit_test,CLS-9A,SUB-PHY,25,9,2026-01-26,2025-26,SCH-001
EXM-0093,Grade 9-A CHEM Unit Test 2,unit_test,CLS-9A,SUB-CHEM,25,9,2026-01-26,2025-26,SCH-001
EXM-0094,Grade 9-A ENG Unit Test 2,unit_test,CLS-9A,SUB-ENG,25,9,2026-01-26,2025-26,SCH-001
EXM-0095,Grade 9-A HIST Unit Test 2,unit_test,CLS-9A,SUB-HIST,25,9,2026-01-26,2025-26,SCH-001
EXM-0096,Grade 9-B MATH Unit Test 2,unit_test,CLS-9B,SUB-MATH,25,9,2026-01-26,2025-26,SCH-001
EXM-0097,Grade 9-B PHY Unit Test 2,unit_test,CLS-9B,SUB-PHY,25,9,2026-01-26,2025-26,SCH-001
EXM-0098,Grade 9-B CHEM Unit Test 2,unit_test,CLS-9B,SUB-CHEM,25,9,2026-01-26,2025-26,SCH-001
EXM-0099,Grade 9-B ENG Unit Test 2,unit_test,CLS-9B,SUB-ENG,25,9,2026-01-26,2025-26,SCH-001
EXM-0100,Grade 9-B HIST Unit Test 2,unit_test,CLS-9B,SUB-HIST,25,9,2026-01-26,2025-26,SCH-001
EXM-0101,Grade 9-C MATH Unit Test 2,unit_test,CLS-9C,SUB-MATH,25,9,2026-01-26,2025-26,SCH-001
EXM-0102,Grade 9-C PHY Unit Test 2,unit_test,CLS-9C,SUB-PHY,25,9,2026-01-26,2025-26,SCH-001
EXM-0103,Grade 9-C CHEM Unit Test 2,unit_test,CLS-9C,SUB-CHEM,25,9,2026-01-26,2025-26,SCH-001
EXM-0104,Grade 9-C ENG Unit Test 2,unit_test,CLS-9C,SUB-ENG,25,9,2026-01-26,2025-26,SCH-001
EXM-0105,Grade 9-C HIST Unit Test 2,unit_test,CLS-9C,SUB-HIST,25,9,2026-01-26,2025-26,SCH-001
EXM-0106,Grade 10-A MATH Unit Test 2,unit_test,CLS-10A,SUB-MATH,25,9,2026-01-26,2025-26,SCH-001
EXM-0107,Grade 10-A PHY Unit Test 2,unit_test,CLS-10A,SUB-PHY,25,9,2026-01-26,2025-26,SCH-001
EXM-0108,Grade 10-A CHEM Unit Test 2,unit_test,CLS-10A,SUB-CHEM,25,9,2026-01-26,2025-26,SCH-001
EXM-0109,Grade 10-A ENG Unit Test 2,unit_test,CLS-10A,SUB-ENG,25,9,2026-01-26,2025-26,SCH-001
EXM-0110,Grade 10-A HIST Unit Test 2,unit_test,CLS-10A,SUB-HIST,25,9,2026-01-26,2025-26,SCH-001
EXM-0111,Grade 10-B MATH Unit Test 2,unit_test,CLS-10B,SUB-MATH,25,9,2026-01-26,2025-26,SCH-001
EXM-0112,Grade 10-B PHY Unit Test 2,unit_test,CLS-10B,SUB-PHY,25,9,2026-01-26,2025-26,SCH-001
EXM-0113,Grade 10-B CHEM Unit Test 2,unit_test,CLS-10B,SUB-CHEM,25,9,2026-01-26,2025-26,SCH-001
EXM-0114,Grade 10-B ENG Unit Test 2,unit_test,CLS-10B,SUB-ENG,25,9,2026-01-26,2025-26,SCH-001
EXM-0115,Grade 10-B HIST Unit Test 2,unit_test,CLS-10B,SUB-HIST,25,9,2026-01-26,2025-26,SCH-001
EXM-0116,Grade 10-C MATH Unit Test 2,unit_test,CLS-10C,SUB-MATH,25,9,2026-01-26,2025-26,SCH-001
EXM-0117,Grade 10-C PHY Unit Test 2,unit_test,CLS-10C,SUB-PHY,25,9,2026-01-26,2025-26,SCH-001
EXM-0118,Grade 10-C CHEM Unit Test 2,unit_test,CLS-10C,SUB-CHEM,25,9,2026-01-26,2025-26,SCH-001
EXM-0119,Grade 10-C ENG Unit Test 2,unit_test,CLS-10C,SUB-ENG,25,9,2026-01-26,2025-26,SCH-001
EXM-0120,Grade 10-C HIST Unit Test 2,unit_test,CLS-10C,SUB-HIST,25,9,2026-01-26,2025-26,SCH-001
EXM-0121,Grade 11-A MATH Unit Test 2,unit_test,CLS-11A,SUB-MATH,25,9,2026-01-26,2025-26,SCH-001
EXM-0122,Grade 11-A PHY Unit Test 2,unit_test,CLS-11A,SUB-PHY,25,9,2026-01-26,2025-26,SCH-001
EXM-0123,Grade 11-A CHEM Unit Test 2,unit_test,CLS-11A,SUB-CHEM,25,9,2026-01-26,2025-26,SCH-001
EXM-0124,Grade 11-A ENG Unit Test 2,unit_test,CLS-11A,SUB-ENG,25,9,2026-01-26,2025-26,SCH-001
EXM-0125,Grade 11-A HIST Unit Test 2,unit_test,CLS-11A,SUB-HIST,25,9,2026-01-26,2025-26,SCH-001
EXM-0126,Grade 11-B MATH Unit Test 2,unit_test,CLS-11B,SUB-MATH,25,9,2026-01-26,2025-26,SCH-001
EXM-0127,Grade 11-B PHY Unit Test 2,unit_test,CLS-11B,SUB-PHY,25,9,2026-01-26,2025-26,SCH-001
EXM-0128,Grade 11-B CHEM Unit Test 2,unit_test,CLS-11B,SUB-CHEM,25,9,2026-01-26,2025-26,SCH-001
EXM-0129,Grade 11-B ENG Unit Test 2,unit_test,CLS-11B,SUB-ENG,25,9,2026-01-26,2025-26,SCH-001
EXM-0130,Grade 11-B HIST Unit Test 2,unit_test,CLS-11B,SUB-HIST,25,9,2026-01-26,2025-26,SCH-001
EXM-0131,Grade 11-C MATH Unit Test 2,unit_test,CLS-11C,SUB-MATH,25,9,2026-01-26,2025-26,SCH-001
EXM-0132,Grade 11-C PHY Unit Test 2,unit_test,CLS-11C,SUB-PHY,25,9,2026-01-26,2025-26,SCH-001
EXM-0133,Grade 11-C CHEM Unit Test 2,unit_test,CLS-11C,SUB-CHEM,25,9,2026-01-26,2025-26,SCH-001
EXM-0134,Grade 11-C ENG Unit Test 2,unit_test,CLS-11C,SUB-ENG,25,9,2026-01-26,2025-26,SCH-001
EXM-0135,Grade 11-C HIST Unit Test 2,unit_test,CLS-11C,SUB-HIST,25,9,2026-01-26,2025-26,SCH-001
EXM-0136,Grade 9-A MATH Pre-Final,unit_test,CLS-9A,SUB-MATH,100,35,2026-03-16,2025-26,SCH-001
EXM-0137,Grade 9-A PHY Pre-Final,unit_test,CLS-9A,SUB-PHY,100,35,2026-03-16,2025-26,SCH-001
EXM-0138,Grade 9-A CHEM Pre-Final,unit_test,CLS-9A,SUB-CHEM,100,35,2026-03-16,2025-26,SCH-001
EXM-0139,Grade 9-A ENG Pre-Final,unit_test,CLS-9A,SUB-ENG,100,35,2026-03-16,2025-26,SCH-001
EXM-0140,Grade 9-A HIST Pre-Final,unit_test,CLS-9A,SUB-HIST,100,35,2026-03-16,2025-26,SCH-001
EXM-0141,Grade 9-B MATH Pre-Final,unit_test,CLS-9B,SUB-MATH,100,35,2026-03-16,2025-26,SCH-001
EXM-0142,Grade 9-B PHY Pre-Final,unit_test,CLS-9B,SUB-PHY,100,35,2026-03-16,2025-26,SCH-001
EXM-0143,Grade 9-B CHEM Pre-Final,unit_test,CLS-9B,SUB-CHEM,100,35,2026-03-16,2025-26,SCH-001
EXM-0144,Grade 9-B ENG Pre-Final,unit_test,CLS-9B,SUB-ENG,100,35,2026-03-16,2025-26,SCH-001
EXM-0145,Grade 9-B HIST Pre-Final,unit_test,CLS-9B,SUB-HIST,100,35,2026-03-16,2025-26,SCH-001
EXM-0146,Grade 9-C MATH Pre-Final,unit_test,CLS-9C,SUB-MATH,100,35,2026-03-16,2025-26,SCH-001
EXM-0147,Grade 9-C PHY Pre-Final,unit_test,CLS-9C,SUB-PHY,100,35,2026-03-16,2025-26,SCH-001
EXM-0148,Grade 9-C CHEM Pre-Final,unit_test,CLS-9C,SUB-CHEM,100,35,2026-03-16,2025-26,SCH-001
EXM-0149,Grade 9-C ENG Pre-Final,unit_test,CLS-9C,SUB-ENG,100,35,2026-03-16,2025-26,SCH-001
EXM-0150,Grade 9-C HIST Pre-Final,unit_test,CLS-9C,SUB-HIST,100,35,2026-03-16,2025-26,SCH-001
EXM-0151,Grade 10-A MATH Pre-Final,unit_test,CLS-10A,SUB-MATH,100,35,2026-03-16,2025-26,SCH-001
EXM-0152,Grade 10-A PHY Pre-Final,unit_test,CLS-10A,SUB-PHY,100,35,2026-03-16,2025-26,SCH-001
EXM-0153,Grade 10-A CHEM Pre-Final,unit_test,CLS-10A,SUB-CHEM,100,35,2026-03-16,2025-26,SCH-001
EXM-0154,Grade 10-A ENG Pre-Final,unit_test,CLS-10A,SUB-ENG,100,35,2026-03-16,2025-26,SCH-001
EXM-0155,Grade 10-A HIST Pre-Final,unit_test,CLS-10A,SUB-HIST,100,35,2026-03-16,2025-26,SCH-001
EXM-0156,Grade 10-B MATH Pre-Final,unit_test,CLS-10B,SUB-MATH,100,35,2026-03-16,2025-26,SCH-001
EXM-0157,Grade 10-B PHY Pre-Final,unit_test,CLS-10B,SUB-PHY,100,35,2026-03-16,2025-26,SCH-001
EXM-0158,Grade 10-B CHEM Pre-Final,unit_test,CLS-10B,SUB-CHEM,100,35,2026-03-16,2025-26,SCH-001
EXM-0159,Grade 10-B ENG Pre-Final,unit_test,CLS-10B,SUB-ENG,100,35,2026-03-16,2025-26,SCH-001
EXM-0160,Grade 10-B HIST Pre-Final,unit_test,CLS-10B,SUB-HIST,100,35,2026-03-16,2025-26,SCH-001
EXM-0161,Grade 10-C MATH Pre-Final,unit_test,CLS-10C,SUB-MATH,100,35,2026-03-16,2025-26,SCH-001
EXM-0162,Grade 10-C PHY Pre-Final,unit_test,CLS-10C,SUB-PHY,100,35,2026-03-16,2025-26,SCH-001
EXM-0163,Grade 10-C CHEM Pre-Final,unit_test,CLS-10C,SUB-CHEM,100,35,2026-03-16,2025-26,SCH-001
EXM-0164,Grade 10-C ENG Pre-Final,unit_test,CLS-10C,SUB-ENG,100,35,2026-03-16,2025-26,SCH-001
