checkinId,studentId,date,moodScore,moodLabel,notes,isAnonymous,schoolId
CHK-000001,STU-2026-0001,2025-11-10,5,great,,False,SCH-001
CHK-000002,STU-2026-0001,2025-11-11,4,good,,False,SCH-001
CHK-000003,STU-2026-0001,2025-11-12,5,great,,False,SCH-001
CHK-000004,STU-2026-0001,2025-11-13,5,great,,False,SCH-001
CHK-000005,STU-2026-0001,2025-11-14,4,good,,False,SCH-001
CHK-000006,STU-2026-0001,2025-11-17,5,great,,True,SCH-001
CHK-000007,STU-2026-0001,2025-11-18,4,good,,False,SCH-001
CHK-000008,STU-2026-0001,2025-11-19,4,good,,False,SCH-001
CHK-000009,STU-2026-0001,2025-11-20,5,great,,True,SCH-001
CHK-000010,STU-2026-0001,2025-11-21,4,good,,False,SCH-001
CHK-000011,STU-2026-0001,2025-11-24,5,great,,False,SCH-001
CHK-000012,STU-2026-0001,2025-11-25,5,great,,False,SCH-001
CHK-000013,STU-2026-0001,2025-11-26,4,good,"The teacher appreciated my project work in front of everyone, feeling very accomplished!",False,SCH-001
CHK-000014,STU-2026-0001,2025-11-27,4,good,,False,SCH-001
CHK-000015,STU-2026-0001,2025-11-28,4,good,,False,SCH-001
CHK-000016,STU-2026-0001,2025-12-01,5,great,,False,SCH-001
CHK-000017,STU-2026-0001,2025-12-02,4,good,,False,SCH-001
CHK-000018,STU-2026-0001,2025-12-03,4,good,"Had lots of fun during sports period today, feeling refreshed and positive.",False,SCH-001
CHK-000019,STU-2026-0001,2025-12-04,4,good,,False,SCH-001
CHK-000020,STU-2026-0001,2025-12-05,4,good,,False,SCH-001
CHK-000021,STU-2026-0001,2025-12-08,4,good,,False,SCH-001
CHK-000022,STU-2026-0001,2025-12-09,4,good,"The teacher appreciated my project work in front of everyone, feeling very accomplished!",False,SCH-001
CHK-000023,STU-2026-0001,2025-12-10,3,okay,,False,SCH-001
CHK-000024,STU-2026-0001,2025-12-11,5,great,,False,SCH-001
CHK-000025,STU-2026-0001,2025-12-12,4,good,,False,SCH-001
CHK-000026,STU-2026-0001,2025-12-15,3,okay,My heart starts pounding and my hands shake uncontrollably whenever the teacher calls on students.,False,SCH-001
CHK-000027,STU-2026-0001,2025-12-16,4,good,,False,SCH-001
CHK-000028,STU-2026-0001,2025-12-17,5,great,"Made great progress on my science project with my team, looking forward to tomorrow.",False,SCH-001
CHK-000029,STU-2026-0001,2025-12-18,5,great,,False,SCH-001
CHK-000030,STU-2026-0001,2025-12-19,4,good,,False,SCH-001
CHK-000031,STU-2026-0001,2025-12-22,4,good,Regular school day. Completed notes in English and started the math homework.,False,SCH-001
CHK-000032,STU-2026-0001,2025-12-23,4,good,,False,SCH-001
CHK-000033,STU-2026-0001,2025-12-24,4,good,,False,SCH-001
CHK-000034,STU-2026-0001,2025-12-25,4,good,,False,SCH-001
CHK-000035,STU-2026-0001,2025-12-26,4,good,,False,SCH-001
CHK-000036,STU-2026-0001,2025-12-29,3,okay,I have severe panic attacks every Sunday evening thinking about school the next morning.,False,SCH-001
CHK-000037,STU-2026-0001,2025-12-30,4,good,,False,SCH-001
CHK-000038,STU-2026-0001,2025-12-31,5,great,,False,SCH-001
CHK-000039,STU-2026-0001,2026-01-01,5,great,,False,SCH-001
CHK-000040,STU-2026-0001,2026-01-02,4,good,"Had lots of fun during sports period today, feeling refreshed and positive.",False,SCH-001
CHK-000041,STU-2026-0001,2026-01-05,4,good,"Had lots of fun during sports period today, feeling refreshed and positive.",False,SCH-001
CHK-000042,STU-2026-0001,2026-01-06,4,good,,False,SCH-001
CHK-000043,STU-2026-0001,2026-01-07,4,good,"Really enjoyed chemistry lab today, our titration experiment worked out great!",False,SCH-001
CHK-000044,STU-2026-0001,2026-01-08,4,good,"The teacher appreciated my project work in front of everyone, feeling very accomplished!",True,SCH-001
CHK-000045,STU-2026-0001,2026-01-09,4,good,,False,SCH-001
CHK-000046,STU-2026-0001,2026-01-12,4,good,,False,SCH-001
CHK-000047,STU-2026-0001,2026-01-13,4,good,,False,SCH-001
CHK-000048,STU-2026-0001,2026-01-14,5,great,,False,SCH-001
CHK-000049,STU-2026-0001,2026-01-15,4,good,"Had a great discussion in history class, feeling confident and motivated today.",False,SCH-001
CHK-000050,STU-2026-0001,2026-01-16,5,great,,False,SCH-001
CHK-000051,STU-2026-0001,2026-01-19,4,good,"The teacher appreciated my project work in front of everyone, feeling very accomplished!",False,SCH-001
CHK-000052,STU-2026-0001,2026-01-20,4,good,,False,SCH-001
CHK-000053,STU-2026-0001,2026-01-21,4,good,"Made great progress on my science project with my team, looking forward to tomorrow.",False,SCH-001
CHK-000054,STU-2026-0001,2026-01-22,5,great,,False,SCH-001
CHK-000055,STU-2026-0001,2026-01-23,4,good,,False,SCH-001
CHK-000056,STU-2026-0001,2026-01-26,5,great,"Made great progress on my science project with my team, looking forward to tomorrow.",False,SCH-001
CHK-000057,STU-2026-0001,2026-01-27,4,good,,False,SCH-001
CHK-000058,STU-2026-0001,2026-01-28,4,good,,False,SCH-001
CHK-000059,STU-2026-0001,2026-01-29,3,okay,,False,SCH-001
CHK-000060,STU-2026-0001,2026-01-30,4,good,Scored well on the math quiz! Hard work is finally paying off.,False,SCH-001
CHK-000061,STU-2026-0001,2026-02-02,5,great,,False,SCH-001
CHK-000062,STU-2026-0001,2026-02-03,4,good,"Really enjoyed chemistry lab today, our titration experiment worked out great!",False,SCH-001
CHK-000063,STU-2026-0001,2026-02-04,4,good,,False,SCH-001
CHK-000064,STU-2026-0001,2026-02-05,4,good,,False,SCH-001
CHK-000065,STU-2026-0001,2026-02-06,5,great,,False,SCH-001
CHK-000066,STU-2026-0001,2026-02-09,4,good,"Had a great discussion in history class, feeling confident and motivated today.",False,SCH-001
CHK-000067,STU-2026-0001,2026-02-10,4,good,,False,SCH-001
CHK-000068,STU-2026-0001,2026-02-11,4,good,Scored well on the math quiz! Hard work is finally paying off.,False,SCH-001
CHK-000069,STU-2026-0001,2026-02-12,4,good,,False,SCH-001
CHK-000070,STU-2026-0001,2026-02-13,5,great,"Made great progress on my science project with my team, looking forward to tomorrow.",False,SCH-001
CHK-000071,STU-2026-0001,2026-02-16,4,good,,False,SCH-001
CHK-000072,STU-2026-0001,2026-02-17,4,good,,False,SCH-001
CHK-000073,STU-2026-0001,2026-02-18,4,good,,False,SCH-001
CHK-000074,STU-2026-0001,2026-02-19,5,great,,False,SCH-001
CHK-000075,STU-2026-0001,2026-02-20,5,great,,False,SCH-001
CHK-000076,STU-2026-0001,2026-02-23,5,great,,False,SCH-001
CHK-000077,STU-2026-0001,2026-02-24,5,great,,False,SCH-001
CHK-000078,STU-2026-0001,2026-02-25,4,good,"Made great progress on my science project with my team, looking forward to tomorrow.",False,SCH-001
CHK-000079,STU-2026-0001,2026-02-26,4,good,,False,SCH-001
CHK-000080,STU-2026-0001,2026-02-27,3,okay,Classes went as scheduled. Need to finish history assignment tonight.,False,SCH-001
CHK-000081,STU-2026-0001,2026-03-02,4,good,,True,SCH-001
CHK-000082,STU-2026-0001,2026-03-03,5,great,"Had lots of fun during sports period today, feeling refreshed and positive.",False,SCH-001
CHK-000083,STU-2026-0001,2026-03-04,4,good,"Standard schedule today, ate lunch in cafeteria and prepared for tomorrow's lab.",False,SCH-001
CHK-000084,STU-2026-0001,2026-03-05,4,good,"Standard school day, revised chapter 4 during the study break.",False,SCH-001
CHK-000085,STU-2026-0001,2026-03-06,4,good,,False,SCH-001
CHK-000086,STU-2026-0001,2026-03-09,3,okay,,False,SCH-001
CHK-000087,STU-2026-0001,2026-03-10,5,great,,False,SCH-001
CHK-000088,STU-2026-0001,2026-03-11,4,good,,False,SCH-001
CHK-000089,STU-2026-0001,2026-03-12,4,good,,False,SCH-001
CHK-000090,STU-2026-0001,2026-03-13,5,great,,False,SCH-001
CHK-000091,STU-2026-0001,2026-03-16,4,good,,False,SCH-001
CHK-000092,STU-2026-0001,2026-03-17,5,great,,False,SCH-001
CHK-000093,STU-2026-0001,2026-03-18,5,great,,False,SCH-001
CHK-000094,STU-2026-0001,2026-03-19,4,good,,False,SCH-001
CHK-000095,STU-2026-0001,2026-03-20,4,good,"Really enjoyed chemistry lab today, our titration experiment worked out great!",False,SCH-001
CHK-000096,STU-2026-0001,2026-03-23,4,good,,False,SCH-001
CHK-000097,STU-2026-0001,2026-03-24,4,good,,True,SCH-001
CHK-000098,STU-2026-0001,2026-03-25,4,good,,False,SCH-001
CHK-000099,STU-2026-0001,2026-03-26,4,good,,False,SCH-001
CHK-000100,STU-2026-0001,2026-03-27,4,good,,False,SCH-001
CHK-000101,STU-2026-0001,2026-03-30,4,good,,False,SCH-001
CHK-000102,STU-2026-0001,2026-03-31,5,great,,False,SCH-001
CHK-000103,STU-2026-0001,2026-04-01,4,good,"Really enjoyed chemistry lab today, our titration experiment worked out great!",False,SCH-001
CHK-000104,STU-2026-0001,2026-04-02,4,good,,False,SCH-001
CHK-000105,STU-2026-0001,2026-04-03,4,good,"Feeling energetic and happy, had a wonderful conversation with my classmates.",False,SCH-001
CHK-000106,STU-2026-0001,2026-04-06,4,good,"Really enjoyed chemistry lab today, our titration experiment worked out great!",False,SCH-001
CHK-000107,STU-2026-0001,2026-04-07,4,good,,False,SCH-001
CHK-000108,STU-2026-0001,2026-04-08,4,good,,False,SCH-001
CHK-000109,STU-2026-0001,2026-04-09,4,good,,False,SCH-001
CHK-000110,STU-2026-0001,2026-04-10,4,good,,False,SCH-001
CHK-000111,STU-2026-0001,2026-04-13,5,great,,False,SCH-001
CHK-000112,STU-2026-0001,2026-04-14,4,good,"Feeling energetic and happy, had a wonderful conversation with my classmates.",False,SCH-001
CHK-000113,STU-2026-0001,2026-04-15,4,good,,False,SCH-001
CHK-000114,STU-2026-0001,2026-04-16,5,great,,False,SCH-001
CHK-000115,STU-2026-0001,2026-04-17,4,good,,False,SCH-001
CHK-000116,STU-2026-0001,2026-04-20,4,good,"The teacher appreciated my project work in front of everyone, feeling very accomplished!",False,SCH-001
CHK-000117,STU-2026-0001,2026-04-21,5,great,,False,SCH-001
CHK-000118,STU-2026-0001,2026-04-22,4,good,,False,SCH-001
CHK-000119,STU-2026-0001,2026-04-23,4,good,,False,SCH-001
CHK-000120,STU-2026-0001,2026-04-24,4,good,,False,SCH-001
CHK-000121,STU-2026-0002,2025-11-10,4,good,,False,SCH-001
CHK-000122,STU-2026-0002,2025-11-11,4,good,,False,SCH-001
CHK-000123,STU-2026-0002,2025-11-12,5,great,,False,SCH-001
CHK-000124,STU-2026-0002,2025-11-13,5,great,,True,SCH-001
CHK-000125,STU-2026-0002,2025-11-14,4,good,,False,SCH-001
CHK-000126,STU-2026-0002,2025-11-17,4,good,,False,SCH-001
CHK-000127,STU-2026-0002,2025-11-18,4,good,,False,SCH-001
CHK-000128,STU-2026-0002,2025-11-19,4,good,,False,SCH-001
CHK-000129,STU-2026-0002,2025-11-20,4,good,,False,SCH-001
CHK-000130,STU-2026-0002,2025-11-21,4,good,"Had a great discussion in history class, feeling confident and motivated today.",False,SCH-001
CHK-000131,STU-2026-0002,2025-11-24,4,good,,False,SCH-001
CHK-000132,STU-2026-0002,2025-11-25,4,good,"Feeling energetic and happy, had a wonderful conversation with my classmates.",False,SCH-001
CHK-000133,STU-2026-0002,2025-11-26,4,good,,False,SCH-001
CHK-000134,STU-2026-0002,2025-11-27,3,okay,"Standard school day, revised chapter 4 during the study break.",False,SCH-001
CHK-000135,STU-2026-0002,2025-11-28,3,okay,,False,SCH-001
CHK-000136,STU-2026-0002,2025-12-01,4,good,,False,SCH-001
CHK-000137,STU-2026-0002,2025-12-02,4,good,,False,SCH-001
CHK-000138,STU-2026-0002,2025-12-03,4,good,Scored well on the math quiz! Hard work is finally paying off.,True,SCH-001
CHK-000139,STU-2026-0002,2025-12-04,5,great,Scored well on the math quiz! Hard work is finally paying off.,False,SCH-001
CHK-000140,STU-2026-0002,2025-12-05,4,good,,False,SCH-001
CHK-000141,STU-2026-0002,2025-12-08,4,good,,False,SCH-001
CHK-000142,STU-2026-0002,2025-12-09,4,good,,False,SCH-001
CHK-000143,STU-2026-0002,2025-12-10,4,good,Scored well on the math quiz! Hard work is finally paying off.,False,SCH-001
CHK-000144,STU-2026-0002,2025-12-11,4,good,,False,SCH-001
CHK-000145,STU-2026-0002,2025-12-12,4,good,,False,SCH-001
CHK-000146,STU-2026-0002,2025-12-15,5,great,,False,SCH-001
CHK-000147,STU-2026-0002,2025-12-16,4,good,,False,SCH-001
CHK-000148,STU-2026-0002,2025-12-17,4,good,,False,SCH-001
CHK-000149,STU-2026-0002,2025-12-18,4,good,,False,SCH-001
CHK-000150,STU-2026-0002,2025-12-19,3,okay,,False,SCH-001
CHK-000151,STU-2026-0002,2025-12-22,5,great,,False,SCH-001
CHK-000152,STU-2026-0002,2025-12-23,5,great,,False,SCH-001
CHK-000153,STU-2026-0002,2025-12-24,4,good,,False,SCH-001
CHK-000154,STU-2026-0002,2025-12-25,5,great,,False,SCH-001
CHK-000155,STU-2026-0002,2025-12-26,5,great,"Made great progress on my science project with my team, looking forward to tomorrow.",False,SCH-001
CHK-000156,STU-2026-0002,2025-12-29,4,good,Regular school day. Completed notes in English and started the math homework.,False,SCH-001
CHK-000157,STU-2026-0002,2025-12-30,4,good,Regular school day. Completed notes in English and started the math homework.,False,SCH-001
CHK-000158,STU-2026-0002,2025-12-31,4,good,Classes went as scheduled. Need to finish history assignment tonight.,False,SCH-001
CHK-000159,STU-2026-0002,2026-01-01,4,good,,False,SCH-001
CHK-000160,STU-2026-0002,2026-01-02,5,great,,False,SCH-001
CHK-000161,STU-2026-0002,2026-01-05,4,good,,False,SCH-001
